ADRB2,3p0g
ADRB2,3pds
ADRB2,3sn6
ADRB2,4lde
ADRB2,4ldl
ADRB2,4ldo
ADRB2,4qkx
ADRB2,6mxt
ALDH1,4wp7
ALDH1,4wpn
ALDH1,4x4l
ALDH1,5ac2
ALDH1,5l2m
ALDH1,5l2n
ALDH1,5l2o
ALDH1,5tei
ESR1ago,1l2i
ESR1ago,2b1v
ESR1ago,2b1z
ESR1ago,2p15
ESR1ago,2q70
ESR1ago,2qr9
ESR1ago,2qse
ESR1ago,2qzo
ESR1ago,4ivw
ESR1ago,4pps
ESR1ago,5drj
ESR1ago,5du5
ESR1ago,5due
ESR1ago,5dzi
ESR1ago,5e1c
ESR1ant,1xp1
ESR1ant,1xqc
ESR1ant,2ayr
ESR1ant,2iog
ESR1ant,2iok
ESR1ant,2ouz
ESR1ant,2pog
ESR1ant,2r6w
ESR1ant,3dt3
ESR1ant,5aau
ESR1ant,5fqv
ESR1ant,5t92
ESR1ant,6b0f
ESR1ant,6chw
FEN1,5fv7
GBA,2v3d
GBA,2v3e
GBA,2xwd
GBA,2xwe
GBA,3rik
GBA,3ril
IDH1,4i3k
IDH1,4i3l
IDH1,4umx
IDH1,4xrx
IDH1,4xs3
IDH1,5de1
IDH1,5l57
IDH1,5l58
IDH1,5lge
IDH1,5sun
IDH1,5svf
IDH1,5tqh
IDH1,6adg
IDH1,6b0z
KAT2A,5h84
KAT2A,5h86
KAT2A,5mlj
MAPK1,1pme
MAPK1,2ojg
MAPK1,3sa0
MAPK1,3w55
MAPK1,4qp3
MAPK1,4qp4
MAPK1,4qp9
MAPK1,4qta
MAPK1,4qte
MAPK1,4xj0
MAPK1,4zzn
MAPK1,5ax3
MAPK1,5buj
MAPK1,5v62
MAPK1,6g9h
MTORC1,1fap
MTORC1,1nsg
MTORC1,2fap
MTORC1,3fap
MTORC1,4drh
MTORC1,4dri
MTORC1,4drj
MTORC1,4fap
MTORC1,4jsx
MTORC1,4jt5
MTORC1,5gpg
OPRK1,6b73
PKM2,3gqy
PKM2,3gr4
PKM2,3h6o
PKM2,3me3
PKM2,3u2z
PKM2,4g1n
PKM2,4jpg
PKM2,5x1v
PPARG,1zgy
PPARG,2i4j
PPARG,2p4y
PPARG,2q5s
PPARG,2yfe
PPARG,3b1m
PPARG,3hod
PPARG,3r8a
PPARG,4ci5
PPARG,4fgy
PPARG,4prg
PPARG,5tto
PPARG,5two
PPARG,5y2t
PPARG,5z5s
TP53,2vuk
TP53,3zme
TP53,4ago
TP53,4agq
TP53,5g4o
TP53,5o1i
VDR,3a2i
VDR,3a2j
